データ順番号,日付,曜日,開催,Ｒ,レース名,重量種別,限定,馬名S,Ｃ,性別,年齢,騎手,斤量,ブリンカー,頭数,馬印,レース印１,人気,着順,距離,馬場状態,着差,2角,3角,4角,上り3F,上3F地点差,馬体重,馬体重増減,多頭出し,所属,調教師,種牡馬,母父馬
45,230408,土,3中5,11,ニュージG2,馬齢,国,サンライズジーク,,牡,3,坂井瑠星, 56 ,,16,"  ",,8,15,芝1600,稍,2.3,2,4,4,37.9,0.4,502,+2,,(栗),矢作芳人,エピファネイア,フレンチデピュティ
46,230408,土,3中5,11,ニュージG2,馬齢,国,ロードディフィート,,牡,3,田辺裕信, 56 ,,16,"  ",,11,16,芝1600,稍,3.2,16,15,16,38.0,1.2,420,-8,,(美),和田勇介,デクラレーションオブウォー,ダイワメジャー
47,220409,土,3中5,11,ニュージG2,馬齢,国,ジャングロ,,牡,3,武豊, 56 ,,11,"  ",,3,１,芝1600,良,-0.0,1,1,1,34.7,0.0,460,-4,,(栗),森秀行,"More Than Ready","Broad Brush"
48,220409,土,3中5,11,ニュージG2,馬齢,国,マテンロウオリオン,,牡,3,横山典弘, 56 ,,11,"  ",,1,２,芝1600,良,0.0,5,5,7,34.1,0.6,486,0,,(栗),昆貢,ダイワメジャー,キングカメハメハ
49,220409,土,3中5,11,ニュージG2,馬齢,国,リューベック,,牡,3,吉田隼人, 56 ,,11,"  ",,6,３,芝1600,良,0.3,5,4,4,34.6,0.4,486,-8,,(栗),須貝尚介,ハービンジャー,スペシャルウィーク
50,220409,土,3中5,11,ニュージG2,馬齢,国,エンペザー,,牡,3,坂井瑠星, 56 ,,11,"  ",,7,４,芝1600,良,0.5,2,2,2,35.0,0.2,480,0,,(栗),田中克典,ロードカナロア,シンボリクリスエス
51,220409,土,3中5,11,ニュージG2,馬齢,国,ティーガーデン,,牡,3,ルメール, 56 ,,11,"  ",,2,５,芝1600,良,0.8,9,8,5,34.8,0.7,498,-12,,(美),萩原清,ドゥラメンテ,シンボリクリスエス
52,220409,土,3中5,11,ニュージG2,馬齢,国,エイシンシュトルム,,牡,3,石川裕紀, 56 ,,11,"  ",,10,６,芝1600,良,0.8,8,9,8,34.7,0.8,484,-2,,(美),勢司和浩,エイシンヒカリ,Tapit
53,220409,土,3中5,11,ニュージG2,馬齢,国,デルマグレムリン,,牡,3,Ｍ．デム, 56 ,,11,"  ",,4,７,芝1600,良,0.9,9,5,5,35.1,0.5,434,-4,,(栗),五十嵐忠,ディーマジェスティ,フォーティナイナー
54,220409,土,3中5,11,ニュージG2,馬齢,国,サーマルウインド,,牝,3,岩田康誠, 54 ,,11,"  ",,8,８,芝1600,良,1.0,3,2,2,35.4,0.3,510,-4,,(美),奥村武,ドレフォン,スペシャルウィーク
55,220409,土,3中5,11,ニュージG2,馬齢,国,アバンチュリエ,,牡,3,横山武史, 56 ,,11,"  ",,5,９,芝1600,良,1.5,11,9,8,35.4,0.8,466,0,,(美),大竹正博,モーリス,ディープインパクト
56,220409,土,3中5,11,ニュージG2,馬齢,国,モチベーション,,牝,3,秋山稔樹, 54 ,,11,"  ",,11,10,芝1600,良,1.7,4,5,8,35.8,0.6,428,0,,(美),清水英克,ガルボ,アグネスデジタル
57,220409,土,3中5,11,ニュージG2,馬齢,国,ベルウッドブラボー,,牡,3,丸山元気, 56 ,B,11,"  ",,9,11,芝1600,良,1.8,5,11,11,35.6,0.9,458,0,,(美),和田雄二,シルバーステート,ヨハネスブルグ
58,210410,土,3中5,11,ニュージG2,馬齢,国,バスラットレオン,,牡,3,藤岡佑介, 56 ,,16,"  ",,2,１,芝1600,良,-0.9,1,1,1,34.6,0.0,480,0,*,(栗),矢作芳人,キズナ,"New Approach"
59,210410,土,3中5,11,ニュージG2,馬齢,国,タイムトゥヘヴン,,牡,3,Ｍ．デム, 56 ,,16,"  ",,3,２,芝1600,良,0.9,6,7,5,35.0,0.5,476,0,,(美),戸田博文,ロードカナロア,アドマイヤベガ
60,210410,土,3中5,11,ニュージG2,馬齢,国,シティレインボー,,牡,3,横山典弘, 56 ,,16,"  ",,11,３,芝1600,良,1.1,3,2,2,35.5,0.2,470,-4,,(栗),池添兼雄,エピファネイア,フジキセキ
61,210410,土,3中5,11,ニュージG2,馬齢,国,ヴィジュネル,,牡,3,内田博幸, 56 ,,16,"  ",,8,４,芝1600,良,1.4,6,7,6,35.5,0.5,460,-6,,(栗),渡辺薫彦,マクフィ,サンデーサイレンス
62,210410,土,3中5,11,ニュージG2,馬齢,国,シュバルツカイザー,,牡,3,石川裕紀, 56 ,,16,"  ",,10,５,芝1600,良,1.4,10,10,6,35.4,0.6,500,+6,,(美),大竹正博,"Dark Angel",Nashwan
63,210410,土,3中5,11,ニュージG2,馬齢,国,ゴールドチャリス,,牝,3,田中勝春, 54 ,,16,"  ",,15,６,芝1600,良,1.4,10,14,13,35.1,0.9,416,+2,,(栗),武幸四郎,トゥザワールド,"Rainbow Quest"
64,210410,土,3中5,11,ニュージG2,馬齢,国,ワザモノ,,牡,3,黛弘人, 56 ,,16,"  ",,9,７,芝1600,良,1.6,15,10,10,35.6,0.6,496,+4,,(美),尾関知人,マツリダゴッホ,ショウナンカンプ
65,210410,土,3中5,11,ニュージG2,馬齢,国,ロンギングバース,,牡,3,横山和生, 56 ,,16,"  ",,14,８,芝1600,良,1.7,13,15,15,35.1,1.2,456,-6,,(美),竹内正洋,ラブリーデイ,ネオユニヴァース
66,210410,土,3中5,11,ニュージG2,馬齢,国,スパークル,,牝,3,岩田望来, 54 ,,16,"  ",,6,９,芝1600,良,1.7,6,7,10,35.8,0.5,462,-8,,(栗),中内田充,エピファネイア,ネオユニヴァース
67,210410,土,3中5,11,ニュージG2,馬齢,国,ブルーシンフォニー,,牡,3,丸山元気, 56 ,,16,"  ",,12,10,芝1600,良,1.8,3,10,10,35.8,0.6,476,-2,,(美),伊藤圭三,スクリーンヒーロー,コマンズ
68,210410,土,3中5,11,ニュージG2,馬齢,国,ドゥラモンド,,牡,3,横山武史, 56 ,,16,"  ",,5,11,芝1600,良,1.9,10,5,6,36.1,0.4,480,+2,,(美),手塚貴久,ドゥラメンテ,Include
69,210410,土,3中5,11,ニュージG2,馬齢,国,トーセンウォーリア,,牡,3,武藤雅, 56 ,,16,"  ",,16,12,芝1600,良,2.1,16,16,16,35.2,1.5,494,0,,(美),池上昌和,ドゥラメンテ,フレンチデピュティ
70,210410,土,3中5,11,ニュージG2,馬齢,国,ワーズワース,,牡,3,北村宏司, 56 ,,16,"  ",,7,13,芝1600,良,2.5,6,5,6,36.8,0.3,500,+2,,(栗),清水久詞,リオンディーズ,"Dylan Thomas"
71,210410,土,3中5,11,ニュージG2,馬齢,国,ゲンパチミーティア,,牡,3,木幡巧也, 56 ,,16,"  ",,13,14,芝1600,良,2.6,2,2,2,37.0,0.2,466,+2,*,(栗),矢作芳人,ロードカナロア,シンボリクリスエス
72,210410,土,3中5,11,ニュージG2,馬齢,国,アヴェラーレ,,牝,3,ルメール, 54 ,,16,"  ",,1,15,芝1600,良,2.6,13,10,13,36.5,0.7,420,-6,,(美),木村哲也,ドゥラメンテ,"Harlan's Holiday"
73,210410,土,3中5,11,ニュージG2,馬齢,国,サトノブラーヴ,,牡,3,石橋脩, 56 ,,16,"  ",,4,16,芝1600,良,3.0,3,2,2,37.5,0.1,470,0,,(美),堀宣行,オルフェーヴル,クロフネ
74,200411,土,3中5,11,ニュージG2,馬齢,国,ルフトシュトローム,,牡,3,石橋脩, 56 ,,16,"  ",,2,１,芝1600,良,-0.1,11,12,10,34.2,1.2,482,-4,,(美),堀宣行,キンシャサノキセキ,キングカメハメハ
75,200411,土,3中5,11,ニュージG2,馬齢,国,シーズンズギフト,,牝,3,津村明秀, 54 ,,16,"  ",,5,２,芝1600,良,0.1,13,9,7,34.5,1.0,472,-2,,(美),黒岩陽一,エピファネイア,ゼンノロブロイ
76,200411,土,3中5,11,ニュージG2,馬齢,国,ウイングレイテスト,,牡,3,横山武史, 56 ,,16,"  ",,7,３,芝1600,良,0.1,11,12,10,34.3,1.2,490,+4,,(美),青木孝文,スクリーンヒーロー,サクラユタカオー
77,200411,土,3中5,11,ニュージG2,馬齢,国,アブソルティスモ,,牡,3,北村宏司, 56 ,,16,"  ",,9,４,芝1600,良,0.5,6,5,4,35.4,0.5,500,+2,*,(美),藤沢和雄,ダイワメジャー,シンボリクリスエス
