Ｍ,日付,レース名,馬名S,Ｃ,性別,年齢,人気,着順,間隔,頭数,開催,距離,馬場状態,2角,3角,4角,前走開催,前芝・ダ,前距離,前走馬場状態,前2角,前3角,前4角,前走人気,前走着順,前走着差タイム,前クラス名,騎手,前騎手,馬体重,馬体重増減,前走馬体重増減,斤量,前走斤量,ブリンカー,前走B,馬印,前走馬印,馬印2,前走馬印2,馬印3,前走馬印3,馬印4,前走馬印4,多頭出し,所属,調教師,前走日付,前走レース名
,230408,ニュージG2,メイクアスナッチ,,牝,3,6,11,13,16,3中5,芝1600,稍,9,6,8,1中4,芝,1600,良,13,10,9,7,２, 0.0,Ｇ３,戸崎圭太,戸崎圭太,432,-4,+6, 54 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),武市康男,230109,フェアリG3
,230408,ニュージG2,バグラダス,,牡,3,9,12,3,16,3中5,芝1600,稍,2,2,2,2名3,芝,1400,重,,7,7,3,７, 0.9,Ｇ３,三浦皇成,菅原明良,476,-4,+2, 56 , 56 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),嘉藤貴行,230318,ファルコG3
,230408,ニュージG2,ミスヨコハマ,,牝,3,15,13,4,16,3中5,芝1600,稍,14,13,12,2中6,芝,1600,良,7,10,8,4,10, 0.7,OP(L),石橋脩,菅原明良,456,-8,+2, 54 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),斎藤誠,230312,アネモネ(L)
,230408,ニュージG2,オマツリオトコ,,牡,3,12,14,7,16,3中5,芝1600,稍,9,10,12,1東8,ダ,1600,良,,6,6,3,13, 2.9,OP(L),永野猛蔵,横山武史,482,-2,0, 56 , 58 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),伊藤圭三,230219,ヒヤシン(L)
,230408,ニュージG2,サンライズジーク,,牡,3,8,15,8,16,3中5,芝1600,稍,2,4,4,1東6,ダ,1600,重,,3,3,4,１,-0.2,1勝,坂井瑠星,Ｍ．デム,502,+2,-10, 56 , 56 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),矢作芳人,230212,１勝ｸﾗｽ*
,230408,ニュージG2,ロードディフィート,,牡,3,11,16,3,16,3中5,芝1600,稍,16,15,16,2中7,芝,1600,重,7,7,7,7,１,-0.0,1勝,田辺裕信,田辺裕信,420,-8,-2, 56 , 56 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),和田勇介,230318,１勝ｸﾗｽ*
,220409,ニュージG2,ジャングロ,,牡,3,3,１,6,11,3中5,芝1600,良,1,1,1,1阪6,芝,1200,良,,4,4,1,１,-0.2,OP(L),武豊,武豊,460,-4,+10, 56 , 56 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),森秀行,220227,マーガレ(L)
,220409,ニュージG2,マテンロウオリオン,,牡,3,1,２,13,11,3中5,芝1600,良,5,5,7,1名3,芝,1600,良,3,4,3,4,１,-0.0,Ｇ３,横山典弘,横山典弘,486,0,0, 56 , 56 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),昆貢,220109,シンザンG3
,220409,ニュージG2,リューベック,,牡,3,6,３,5,11,3中5,芝1600,良,5,4,4,2中4,芝,2000,良,1,1,1,10,６, 0.6,Ｇ２,吉田隼人,池添謙一,486,-8,+4, 56 , 56 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),須貝尚介,220306,弥生賞G2
,220409,ニュージG2,エンペザー,,牡,3,7,４,3,11,3中5,芝1600,良,2,2,2,2名4,芝,1600,良,2,2,2,2,１,-0.2,1勝,坂井瑠星,吉田隼人,480,0,-6, 56 , 56 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),田中克典,220321,フローラ･1勝
