データ順番号,日付,曜日,開催,Ｒ,レース名,重量種別,限定,馬名S,Ｃ,性別,年齢,騎手,斤量,ブリンカー,頭数,馬印,レース印１,人気,着順,距離,馬場状態,着差,2角,3角,4角,上り3F,上3F地点差,馬体重,馬体重増減,多頭出し,所属,調教師,種牡馬,母父馬
59,220410,日,2阪6,11,桜花賞G1,定量,国,ピンハイ,,牝,3,高倉稜, 55 ,,18,"  ",,13,５,芝1600,良,0.1,,12,13,33.4,0.8,406,-8,,(栗),田中克典,ミッキーアイル,ジャングルポケット
60,220410,日,2阪6,11,桜花賞G1,定量,国,パーソナルハイ,,牝,3,吉田豊, 55 ,,18,"  ",,17,６,芝1600,良,0.2,,8,9,33.8,0.5,458,-6,,(栗),矢作芳人,ディープインパクト,"City Zip"
61,220410,日,2阪6,11,桜花賞G1,定量,国,ベルクレスタ,,牝,3,吉田隼人, 55 ,,18,"  ",,9,７,芝1600,良,0.2,,13,13,33.5,0.8,460,-4,,(栗),須貝尚介,ドゥラメンテ,Numerous
62,220410,日,2阪6,11,桜花賞G1,定量,国,アルーリングウェイ,,牝,3,藤岡佑介, 55 ,,18,"  ",,5,８,芝1600,良,0.2,,4,4,34.0,0.3,454,0,,(栗),藤岡健一,ジャスタウェイ,フレンチデピュティ
63,220410,日,2阪6,11,桜花賞G1,定量,国,サブライムアンセム,,牝,3,岩田望来, 55 ,,18,"  ",,11,９,芝1600,良,0.2,,8,9,33.7,0.6,478,+2,,(栗),藤原英昭,ロードカナロア,シンボリクリスエス
64,220410,日,2阪6,11,桜花賞G1,定量,国,ナミュール,,牝,3,横山武史, 55 ,,18,"  ",,1,10,芝1600,良,0.3,,13,12,33.7,0.7,426,-4,,(栗),高野友和,ハービンジャー,ダイワメジャー
65,220410,日,2阪6,11,桜花賞G1,定量,国,プレサージュリフト,,牝,3,戸崎圭太, 55 ,,18,"  ",,4,11,芝1600,良,0.5,,18,17,33.5,1.1,460,-4,,(美),木村哲也,ハービンジャー,ディープインパクト
66,220410,日,2阪6,11,桜花賞G1,定量,国,カフジテトラゴン,,牝,3,古川吉洋, 55 ,,18,"  ",,18,12,芝1600,良,0.8,,1,1,34.9,0.0,442,-8,,(栗),武英智,キズナ,Dalakhani
67,220410,日,2阪6,11,桜花賞G1,定量,国,クロスマジェスティ,,牝,3,武藤雅, 55 ,,18,"  ",,15,13,芝1600,良,0.9,,4,7,34.6,0.4,472,+2,,(美),水野貴広,ディーマジェスティ,カリズマティック
68,220410,日,2阪6,11,桜花賞G1,定量,国,フォラブリューテ,,牝,3,ルメール, 55 ,,18,"  ",,12,14,芝1600,良,0.9,,16,15,34.1,0.9,442,+2,,(美),宮田敬介,エピファネイア,アドマイヤベガ
69,220410,日,2阪6,11,桜花賞G1,定量,国,アネゴハダ,,牝,3,幸英明, 55 ,,18,"  ",,16,15,芝1600,良,0.9,,10,7,34.6,0.4,436,-2,,(栗),佐々木晶,キズナ,ウォーエンブレム
70,220410,日,2阪6,11,桜花賞G1,定量,国,ライラック,,牝,3,福永祐一, 55 ,,18,"  ",,10,16,芝1600,良,1.1,,16,17,34.1,1.1,426,+6,,(美),相沢郁,オルフェーヴル,キングカメハメハ
71,220410,日,2阪6,11,桜花賞G1,定量,国,ラズベリームース,,牝,3,池添謙一, 55 ,,18,"  ",,14,17,芝1600,良,1.2,,4,4,35.0,0.3,480,-20,,(美),林徹,ルーラーシップ,ファルブラヴ
72,220410,日,2阪6,11,桜花賞G1,定量,国,ラブリイユアアイズ,,牝,3,坂井瑠星, 55 ,,18,"  ",,8,18,芝1600,良,1.4,,2,3,35.3,0.2,432,+4,,(美),黒岩陽一,ロゴタイプ,ヴィクトワールピサ
