Ｍ,日付,レース名,馬名S,Ｃ,性別,年齢,人気,着順,間隔,頭数,開催,距離,馬場状態,2角,3角,4角,前走開催,前芝・ダ,前距離,前走馬場状態,前2角,前3角,前4角,前走人気,前走着順,前走着差タイム,前クラス名,騎手,前騎手,馬体重,馬体重増減,前走馬体重増減,斤量,前走斤量,ブリンカー,前走B,馬印,前走馬印,馬印2,前走馬印2,馬印3,前走馬印3,馬印4,前走馬印4,多頭出し,所属,調教師,前走日付,前走レース名
,230409,桜花賞G1,トーセンローリエ,,牝,3,13,18,4,18,2阪6,芝1600,良,,2,3,2中6,芝,1600,良,2,2,2,1,１,-0.1,OP(L),横山和生,横山和生,424,-2,-2, 55 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),小笠倫弘,230312,アネモネ(L)
,220410,桜花賞G1,スターズオンアース,,牝,3,7,１,8,18,2阪6,芝1600,良,,10,9,1東5,芝,1600,良,,5,3,1,２, 0.1,Ｇ３,川田将雅,横山武史,470,-4,0, 55 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),高柳瑞樹,220212,クイーンG3
,220410,桜花賞G1,ウォーターナビレラ,,牝,3,3,２,5,18,2阪6,芝1600,良,,2,2,1阪7,芝,1600,良,,4,5,3,５, 0.4,Ｇ２,武豊,武豊,464,-14,+8, 55 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),武幸四郎,220305,チューリG2
,220410,桜花賞G1,ナムラクレア,,牝,3,6,３,4,18,2阪6,芝1600,良,,4,4,1阪A,芝,1400,良,,9,9,1,２, 0.0,Ｇ２,浜中俊,浜中俊,462,-4,+12, 55 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),長谷川浩,220313,フィリーG2
,220410,桜花賞G1,サークルオブライフ,,牝,3,2,４,5,18,2阪6,芝1600,良,,13,15,1阪7,芝,1600,良,,4,4,2,３, 0.2,Ｇ２,Ｍ．デム,Ｍ．デム,482,+6,-2, 55 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),国枝栄,220305,チューリG2
,220410,桜花賞G1,ピンハイ,,牝,3,13,５,5,18,2阪6,芝1600,良,,12,13,1阪7,芝,1600,良,,10,8,13,２, 0.2,Ｇ２,高倉稜,高倉稜,406,-8,-6, 55 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),田中克典,220305,チューリG2
,220410,桜花賞G1,パーソナルハイ,,牝,3,17,６,3,18,2阪6,芝1600,良,,8,9,2中8,芝,1800,良,7,8,5,3,６, 0.7,Ｇ３,吉田豊,藤岡康太,458,-6,+2, 55 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),矢作芳人,220321,フラワーG3
,220410,桜花賞G1,ベルクレスタ,,牝,3,9,７,8,18,2阪6,芝1600,良,,13,13,1東5,芝,1600,良,,13,16,3,３, 0.2,Ｇ３,吉田隼人,松山弘平,460,-4,-2, 55 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),須貝尚介,220212,クイーンG3
,220410,桜花賞G1,アルーリングウェイ,,牝,3,5,８,9,18,2阪6,芝1600,良,,4,4,1名B,芝,1600,良,2,2,2,4,１,-0.2,OP(L),藤岡佑介,藤岡佑介,454,0,-4, 55 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),藤岡健一,220205,エルフィ(L)
,220410,桜花賞G1,サブライムアンセム,,牝,3,11,９,4,18,2阪6,芝1600,良,,8,9,1阪A,芝,1400,良,,11,11,2,１,-0.0,Ｇ２,岩田望来,池添謙一,478,+2,-2, 55 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),藤原英昭,220313,フィリーG2
