Ｍ,日付,レース名,馬名S,Ｃ,性別,年齢,人気,着順,間隔,頭数,開催,距離,馬場状態,2角,3角,4角,前走開催,前芝・ダ,前距離,前走馬場状態,前2角,前3角,前4角,前走人気,前走着順,前走着差タイム,前クラス名,騎手,前騎手,馬体重,馬体重増減,前走馬体重増減,斤量,前走斤量,ブリンカー,前走B,馬印,前走馬印,馬印2,前走馬印2,馬印3,前走馬印3,馬印4,前走馬印4,多頭出し,所属,調教師,前走日付,前走レース名
,210410,阪神牝馬G2,デゼル,,牝,4,1,１,8,12,2阪5,芝1600,良,,8,8,1東6,芝,1800,良,11,11,10,1,１,-0.2,3勝,川田将雅,ルメール,476,-6,-4, 54 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),友道康夫,210214,初音Ｓ･3勝
,210410,阪神牝馬G2,マジックキャッスル,,牝,4,2,２,12,12,2阪5,芝1600,良,,8,10,1名5,芝,2000,良,11,10,8,2,１,-0.0,Ｇ３,大野拓弥,戸崎圭太,430,-14,+12, 54 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),国枝栄,210116,愛知杯ＨG3
,210410,阪神牝馬G2,ドナウデルタ,,牝,5,8,３,12,12,2阪5,芝1600,良,,3,4,1名5,芝,2000,良,12,12,11,12,13, 1.5,Ｇ３,和田竜二,岩田望来,450,+4,-2, 54 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),高野友和,210116,愛知杯ＨG3
,210410,阪神牝馬G2,プールヴィル,,牝,5,9,４,21,12,2阪5,芝1600,良,,6,5,5東4,芝,1400,良,,10,10,2,１,-0.1,OP(L),三浦皇成,三浦皇成,456,+22,-10, 54 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),庄野靖志,201115,オーロＨ(L)
,210410,阪神牝馬G2,エーポス,,牝,4,7,５,52,12,2阪5,芝1600,良,,2,2,2阪6,芝,1600,重,,10,9,11,９, 1.2,Ｇ１,岩田康誠,岩田康誠,456,-2,+12, 54 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),北出成人,200412,桜花賞G1
,210410,阪神牝馬G2,イベリス,,牝,5,4,６,7,12,2阪5,芝1600,良,,1,1,1阪3,芝,1400,良,,1,1,3,１,-0.3,Ｇ３,酒井学,酒井学,482,-2,+6, 54 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),角田晃一,210220,京都牝馬G3
,210410,阪神牝馬G2,ギルデッドミラー,,牝,4,5,７,7,12,2阪5,芝1600,良,,5,5,1阪3,芝,1400,良,,11,10,5,２, 0.3,Ｇ３,池添謙一,福永祐一,480,+2,+4, 54 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),松永幹夫,210220,京都牝馬G3
,210410,阪神牝馬G2,ブランノワール,,牝,5,6,８,7,12,2阪5,芝1600,良,,6,7,1阪3,芝,1400,良,,14,12,9,３, 0.3,Ｇ３,団野大成,団野大成,472,+2,+4, 54 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),須貝尚介,210220,京都牝馬G3
,210410,阪神牝馬G2,リアアメリア,,牝,4,3,９,4,12,2阪5,芝1600,良,,10,10,2中5,芝,1800,不,6,4,5,3,７, 0.8,Ｇ３,福永祐一,福永祐一,492,+2,+8, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),中内田充,210313,中山牝馬ＨG3
,210410,阪神牝馬G2,メイショウグロッケ,,牝,7,10,10,2,12,2阪5,芝1600,良,,3,2,2阪2,芝,1600,稍,,4,4,6,10, 0.7,OP(L),浜中俊,小牧太,456,-4,0, 54 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),荒川義之,210328,六甲Ｓ(L)
,210410,阪神牝馬G2,ロフティフレーズ,,牝,6,11,11,4,12,2阪5,芝1600,良,,10,8,2中5,芝,1800,不,11,12,11,15,11, 1.4,Ｇ３,幸英明,丸山元気,466,-4,-6, 54 , 52 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),上原博之,210313,中山牝馬ＨG3
,210410,阪神牝馬G2,メジェールスー,,牝,6,12,12,2,12,2阪5,芝1600,良,,12,12,2阪2,芝,1600,稍,,15,15,15,12, 0.8,OP(L),藤岡康太,富田暁,466,0,0, 54 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),四位洋文,210328,六甲Ｓ(L)
,200411,阪神牝馬G2,サウンドキアラ,,牝,5,2,１,7,16,2阪5,芝1600,良,,5,5,2京7,芝,1400,重,,4,7,1,１,-0.2,Ｇ３,松山弘平,松山弘平,458,-2,+2, 54 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),安達昭夫,200222,京都牝馬G3
,200411,阪神牝馬G2,スカーレットカラー,,牝,5,6,２,16,16,2阪5,芝1600,良,,14,15,5中8,芝,2500,良,6,7,13,11,15, 4.8,Ｇ１,岩田康誠,岩田康誠,490,+16,-12, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),高橋亮,191222,有馬記念G1
,200411,阪神牝馬G2,ディメンシオン,,牝,6,11,３,7,16,2阪5,芝1600,良,,3,2,2京7,芝,1400,重,,9,10,10,６, 0.6,Ｇ３,松田大作,松田大作,450,-10,+12, 54 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",*,(栗),藤原英昭,200222,京都牝馬G3
,200411,阪神牝馬G2,ビーチサンバ,,牝,4,3,４,7,16,2阪5,芝1600,良,,7,9,2京7,芝,1400,重,,16,14,4,５, 0.6,Ｇ３,福永祐一,福永祐一,468,-4,-4, 54 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),友道康夫,200222,京都牝馬G3
,200411,阪神牝馬G2,ダノンファンタジー,,牝,4,1,５,26,16,2阪5,芝1600,良,,4,4,4京4,芝,2000,稍,3,3,2,1,８, 1.1,Ｇ１,川田将雅,川田将雅,486,+22,+6, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),中内田充,191013,秋華賞G1
,200411,阪神牝馬G2,リバティハイツ,,牝,5,12,６,7,16,2阪5,芝1600,良,,7,5,2京7,芝,1400,重,,13,12,14,８, 0.7,Ｇ３,藤岡佑介,松若風馬,464,-4,+10, 54 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),高野友和,200222,京都牝馬G3
,200411,阪神牝馬G2,プールヴィル,,牝,4,7,７,7,16,2阪5,芝1600,良,,7,9,2京7,芝,1400,重,,4,2,6,２, 0.2,Ｇ３,浜中俊,岩田康誠,444,-2,+24, 54 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),庄野靖志,200222,京都牝馬G3
,200411,阪神牝馬G2,ブランノワール,,牝,4,9,８,6,16,2阪5,芝1600,良,,10,13,1阪1,芝,1600,良,,9,10,5,１,-0.1,3勝,武豊,福永祐一,456,-2,+6, 54 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),須貝尚介,200229,うずしお･3勝
,200411,阪神牝馬G2,サトノガーネット,,牝,5,14,９,4,16,2阪5,芝1600,良,,14,12,1名6,芝,2000,良,12,10,10,5,11, 1.3,Ｇ２,川島信二,岩田望来,440,+2,-2, 54 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),矢作芳人,200315,金鯱賞G2
,200411,阪神牝馬G2,テーオービクトリー,,牝,6,16,10,7,16,2阪5,芝1600,良,,10,13,2京8,芝,1600,稍,,8,6,4,１,-0.4,3勝,太宰啓介,太宰啓介,488,+8,0, 54 , 52 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),岡田稲男,200223,斑鳩ＳＨ･3勝
,200411,阪神牝馬G2,メジェールスー,,牝,5,13,11,5,16,2阪5,芝1600,良,,5,5,2中4,芝,1200,重,,2,2,7,１,-0.0,3勝,岩田望来,ミナリク,484,+8,+2, 54 , 53 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",*,(栗),藤原英昭,200308,アクアＨ･3勝
,200411,阪神牝馬G2,シャドウディーヴァ,,牝,4,5,12,9,16,2阪5,芝1600,良,,10,9,1東4,芝,1600,良,,12,11,6,２, 0.1,Ｇ３,池添謙一,岩田康誠,464,-6,-4, 54 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),斎藤誠,200209,東京新聞G3
,200411,阪神牝馬G2,ノーワン,,牝,4,15,13,4,16,2阪5,芝1600,良,,14,16,2中6,芝,1600,稍,10,14,14,11,13, 1.5,OP(L),坂井瑠星,川又賢治,484,+6,-10, 54 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),笹田和秀,200315,東風Ｓ(L)
,200411,阪神牝馬G2,アマルフィコースト,,牝,5,10,14,7,16,2阪5,芝1600,良,,2,2,2京7,芝,1400,重,,3,5,12,４, 0.4,Ｇ３,幸英明,幸英明,470,0,-4, 54 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),牧田和弥,200222,京都牝馬G3
,200411,阪神牝馬G2,トロワゼトワル,,牝,5,8,15,17,16,2阪5,芝1600,良,,1,1,5中5,芝,1600,良,2,2,2,4,16, 2.9,Ｇ３,藤岡康太,横山典弘,482,+20,0, 54 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),安田隆行,191214,ターコイＨG3
,200411,阪神牝馬G2,シゲルピンクダイヤ,,牝,4,4,16,7,16,2阪5,芝1600,良,,10,5,2京7,芝,1400,重,,9,12,2,７, 0.7,Ｇ３,Ｍ．デム,和田竜二,458,-4,+4, 54 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),渡辺薫彦,200222,京都牝馬G3
